person_id,first_name,last_name,email,phone,address,city,state,zip,engagement_level,giving_capacity
P-00000000,Kenneth,Lewis,kenneth.lewis61@icloud.com,7738204212,8422 Kedzie Ave,Chicago,IL,60615,low,medium
P-00000001,Sandra,Nguyen,sandra.nguyen64@icloud.com,3126664789,6496 Jackson Blvd,Chicago,IL,60654,low,medium
P-00000002,Dorothy,Ramirez,dorothy.ramirez55@outlook.com,3123428388,3990 Franklin St,Chicago,IL,60610,low,low
P-00000003,Patricia,Harris,patricia.harris9@msn.com,8472825665,9655 Irving Park Rd,Chicago,IL,60654,medium,low
P-00000004,Linda,Campbell,linda.campbell78@gmail.com,6307249859,3173 Fullerton Ave,Chicago,IL,60610,medium,medium
P-00000005,Donald,Moore,donald.moore44@yahoo.com,7732271741,1095 Congress Pkwy,Evanston,IL,60201,medium,low
P-00000006,Susan,Thompson,susan.thompson62@att.net,8479411855,8016 Archer Ave,Oak Park,IL,60302,medium,medium
P-00000007,Anthony,Hall,anthony.hall29@gmail.com,3127556168,5563 Michigan Ave,Oak Park,IL,60302,low,low
P-00000008,Richard,Taylor,richard.taylor35@hotmail.com,3123109818,5992 Monroe St,Chicago,IL,60615,low,low
P-00000009,David,Rodriguez,david.rodriguez12@yahoo.com,3125545583,2554 Fullerton Ave,Chicago,IL,60615,low,medium
P-00000010,Michelle,Perez,michelle.perez65@hotmail.com,8476401218,3940 LaSalle St,Chicago,IL,60610,medium,medium
P-00000011,Kenneth,Clark,kenneth.clark79@msn.com,7738887739,1584 Ashland Ave,Oak Park,IL,60302,low,medium
P-00000012,Ashley,Brown,ashley.brown23@comcast.net,8474344014,3342 Belmont Ave,Chicago,IL,60657,low,low
P-00000013,Lisa,Ramirez,lisa.ramirez42@sbcglobal.net,8472575557,3727 Western Ave,Chicago,IL,60654,high,medium
P-00000014,Margaret,Harris,margaret.harris62@gmail.com,3126895544,1406 Fullerton Ave,Chicago,IL,60647,low,low
P-00000015,Michael,Hill,michael.hill72@sbcglobal.net,8475422880,763 Harrison St,Chicago,IL,60622,low,low
P-00000016,Nancy,Green,nancy.green62@gmail.com,7737484531,1391 Fullerton Ave,Chicago,IL,60614,medium,medium
P-00000017,Joshua,Taylor,joshua.taylor2@yahoo.com,6303995765,954 LaSalle St,Chicago,IL,60601,low,medium
P-00000018,Mary,Baker,mary.baker32@aol.com,6308103230,4489 Cicero Ave,Evanston,IL,60201,medium,major
P-00000019,Lisa,Hernandez,lisa.hernandez73@aol.com,8475506259,2911 Harlem Ave,Chicago,IL,60601,low,medium
P-00000020,Charles,Martin,charles.martin52@sbcglobal.net,3121071295,6794 Archer Ave,Chicago,IL,60647,high,medium
P-00000021,Anthony,Thompson,anthony.thompson7@msn.com,3125341747,2149 Michigan Ave,Evanston,IL,60201,low,high
P-00000022,Joshua,Young,joshua.young9@sbcglobal.net,8725892306,2355 Clark St,Chicago,IL,60647,high,low
P-00000023,Paul,White,paul.white75@gmail.com,6301501157,4299 Western Ave,Chicago,IL,60614,medium,low
P-00000024,Anthony,Wright,anthony.wright93@yahoo.com,7736320385,2969 Clark St,Oak Park,IL,60302,medium,low
P-00000025,Paul,Brown,paul.brown14@icloud.com,6306134207,1318 Cermak Rd,Chicago,IL,60601,low,medium
P-00000026,Lisa,Perez,lisa.perez51@aol.com,8724438618,325 California Ave,Chicago,IL,60622,medium,medium
P-00000027,Paul,Jones,paul.jones4@hotmail.com,3123727423,8308 Jackson Blvd,Chicago,IL,60610,high,major
P-00000028,Jennifer,Wright,jennifer.wright37@att.net,8479519981,706 Clark St,Oak Park,IL,60302,high,low
P-00000029,Daniel,Young,daniel.young33@hotmail.com,7731688105,5954 Kedzie Ave,Chicago,IL,60647,medium,medium
