subscription_id,person_id,email,first_name,last_name,phone,address,city,state,zip,subscription_type,monthly_rate,start_date,status
S-00000000,P-00000009,drodriguez@gmail.com,David,Rodriguez,3125545583,2554 Fullerton Ave,Chicago,IL,60615,PREMIUM,34.99,2023-11-04,active
S-00000001,P-00000011,kenneth.clark79@msn.com,Kenneth,Clark,7738887739,1584 Ashland Ave,Oak Park,IL,60302,WEEKEND,14.99,2021-05-21,active
S-00000002,P-00000019,lisa.hernandez73@aol.com,Lisa,Hernandez,8475506259,2911 Harlem Ave,Chicago,IL,60601,WEEKEND,14.99,2022-04-02,active
S-00000003,P-00000027,paul.jones4@hotmail.com,Paul,Jones,3123727423,8308 Jackson Blvd,Chicago,IL,60610,WEEKEND,14.99,2022-02-28,active
S-00000004,P-00000057,william.allen84@hotmail.com,William,Allen,8473496081,7126 Armitage Ave,Chicago,IL,60657,WEEKEND,14.99,2023-08-03,active
S-00000005,P-00000064,susan.johnson38@yahoo.com,Susan,Johnson,7731317537,8117 Fullerton Ave,Chicago,IL,60610,WEEKEND,14.99,2020-04-30,active
S-00000006,P-00000075,betty.king59@aol.com,Betty,King,8471421240,9604 California Ave,Chicago,IL,60615,DAILY,24.99,2020-09-19,cancelled
S-00000007,P-00000076,melissa.brown55@sbcglobal.net,Melissa,Brown,8725612338,2690 Wacker Dr,Chicago,IL,60615,PREMIUM,34.99,2023-04-22,active
S-00000008,P-00000101,ashley.white46@outlook.com,Ashley,White,6301499876,6712 Congress Pkwy,Chicago,IL,60615,WEEKEND,14.99,2021-10-18,active
S-00000009,P-00000104,sandra.rodriguez53@hotmail.com,Sandra,Rodriguez,6309121849,1487 Cicero Ave,Chicago,IL,60654,WEEKEND,14.99,2023-01-28,active
S-00000010,P-00000109,mary.nelson51@icloud.com,Mary,Nelson,6307247794,4224 California Ave,Chicago,IL,60601,DAILY,24.99,2022-05-31,cancelled
S-00000011,P-00000135,lisa.brown96@outlook.com,Lisa,Brown,7739527171,1140 Jackson Blvd,Chicago,IL,60614,DIGITAL,9.99,2020-08-25,active
S-00000012,P-00000138,jgreen@gmail.com,Joseph,Green,8477440010,7127 Armitage Ave,Chicago,IL,60647,DIGITAL,9.99,2020-03-31,active
S-00000013,P-00000142,mrivera@icloud.com,Mark,Rivera,8476150635,8984 Cicero Ave,Chicago,IL,60654,WEEKEND,14.99,2022-11-17,cancelled
S-00000014,P-00000149,agreen@att.net,Ashley,Green,7732308507,3489 Western Ave,Chicago,IL,60654,DIGITAL,9.99,2020-01-06,active
S-00000015,P-00000152,gdavis@sbcglobal.net,George,Davis,8727512427,3765 Wells St,Chicago,IL,60647,PREMIUM,34.99,2023-02-28,cancelled
S-00000016,P-00000158,kenneth.harris2@comcast.net,Kenneth,Harris,3122960826,8319 State St,Chicago,IL,60614,WEEKEND,14.99,2021-02-23,cancelled
S-00000017,P-00000161,margaret.nelson47@icloud.com,Margaret,Nelson,6309480932,3668 Cicero Ave,Chicago,IL,60657,WEEKEND,14.99,2021-02-15,active
S-00000018,P-00000162,tgarcia@msn.com,Thomas,Garcia,3123843940,9335 Oak Park Ave,Chicago,IL,60614,WEEKEND,14.99,2020-02-05,active
S-00000019,P-00000168,margaret.johnson64@aol.com,Margaret,Johnson,3123825896,5308 Roosevelt Rd,Chicago,IL,60654,DIGITAL,9.99,2023-07-03,active
S-00000020,P-00000176,anthony.robinson95@msn.com,Anthony,Robinson,8475257950,3754 Diversey Pkwy,Chicago,IL,60647,WEEKEND,14.99,2022-10-08,active
S-00000021,P-00000181,dyoung@aol.com,David,Young,3125736319,4458 California Ave,Evanston,IL,60201,DIGITAL,9.99,2021-06-01,active
S-00000022,P-00000182,kgreen@aol.com,Kenneth,Green,6308116355,1341 Wells St,Chicago,IL,60601,WEEKEND,14.99,2023-10-25,cancelled
S-00000023,P-00000194,kevin.garcia13@icloud.com,Kevin,Garcia,7738585159,3064 State St,Oak Park,IL,60302,PREMIUM,34.99,2021-10-13,cancelled
S-00000024,P-00000198,jallen@hotmail.com,Jessica,Allen,3129324454,1503 Western Ave,Chicago,IL,60614,DIGITAL,9.99,2020-05-27,active
S-00000025,P-00000200,lisa.wilson86@icloud.com,Lisa,Wilson,7735257341,7998 California Ave,Chicago,IL,60647,PREMIUM,34.99,2020-08-29,active
S-00000026,P-00000205,michelle.lee34@att.net,Michelle,Lee,8724889877,2347 Cermak Rd,Chicago,IL,60647,DIGITAL,9.99,2023-05-17,active
S-00000027,P-00000216,lnelson@sbcglobal.net,Lisa,Nelson,8723892478,1753 Ashland Ave,Chicago,IL,60657,DIGITAL,9.99,2023-11-29,active
S-00000028,P-00000227,brobinson@yahoo.com,Brian,Robinson,8728948140,2710 California Ave,Chicago,IL,60622,WEEKEND,14.99,2024-01-08,active
S-00000029,P-00000228,betty.jones84@gmail.com,Betty,Jones,8475963401,8995 LaSalle St,Chicago,IL,60657,DIGITAL,9.99,2021-03-15,cancelled
S-00000030,P-00000231,susan.martinez95@msn.com,Susan,Martinez,3121566088,5447 Cicero Ave,Chicago,IL,60622,PREMIUM,34.99,2023-01-15,cancelled
S-00000031,P-00000233,nanderson@sbcglobal.net,Nancy,Anderson,7734541483,4059 Armitage Ave,Chicago,IL,60647,DIGITAL,9.99,2023-06-10,active
S-00000032,P-00000238,kperez@aol.com,Kenneth,Perez,6303167354,710 Armitage Ave,Chicago,IL,60615,DAILY,24.99,2022-05-13,active
S-00000033,P-00000243,aflores@sbcglobal.net,Amanda,Flores,6309468865,2922 Roosevelt Rd,Chicago,IL,60654,DAILY,24.99,2023-07-25,active
S-00000034,P-00000245,amanda.jackson12@comcast.net,Amanda,Jackson,3125226156,5208 California Ave,Oak Park,IL,60302,DAILY,24.99,2022-01-31,cancelled
S-00000035,P-00000253,emily.lopez39@sbcglobal.net,Emily,Lopez,8723148091,7474 Archer Ave,Chicago,IL,60601,DIGITAL,9.99,2020-03-18,active
S-00000036,P-00000271,dgreen@comcast.net,Donald,Green,8725450252,9201 Archer Ave,Evanston,IL,60201,WEEKEND,14.99,2021-06-09,active
S-00000037,P-00000275,william.nguyen30@yahoo.com,William,Nguyen,8724885250,3343 Harrison St,Evanston,IL,60201,WEEKEND,14.99,2022-11-24,active
S-00000038,P-00000279,patricia.hall69@att.net,Patricia,Hall,8723846274,6318 Van Buren St,Chicago,IL,60654,DIGITAL,9.99,2022-03-04,active
S-00000039,P-00000286,mark.king45@aol.com,Mark,King,8477216074,9802 Irving Park Rd,Chicago,IL,60622,WEEKEND,14.99,2021-06-25,active
S-00000040,P-00000289,susan.clark92@hotmail.com,Susan,Clark,6309168326,464 Clark St,Chicago,IL,60654,DIGITAL,9.99,2020-12-05,cancelled
S-00000041,P-00000290,george.taylor97@att.net,George,Taylor,8723801445,5542 Harlem Ave,Chicago,IL,60601,DAILY,24.99,2023-01-29,active
S-00000042,P-00000308,ewalker@gmail.com,Emily,Walker,3121118581,2105 Michigan Ave,Chicago,IL,60654,WEEKEND,14.99,2023-06-24,cancelled
S-00000043,P-00000314,anthony.allen58@comcast.net,Anthony,Allen,6306304120,3809 Jackson Blvd,Chicago,IL,60647,PREMIUM,34.99,2021-10-23,active
S-00000044,P-00000327,mlewis@comcast.net,Mark,Lewis,6307284725,8027 Pulaski Rd,Chicago,IL,60610,DIGITAL,9.99,2021-12-18,active
