subscription_id,person_id,email,first_name,last_name,phone,address,city,state,zip,subscription_type,monthly_rate,start_date,status
S-00000000,P-00000004,lcampbell@sbcglobal.net,Linda,Campbell,6307249859,3173 Fullerton Ave,Chicago,IL,60610,WEEKEND,14.99,2020-03-14,active
S-00000001,P-00000009,david.rodriguez12@yahoo.com,David,Rodriguez,3125545583,2554 Fullerton Ave,Chicago,IL,60615,DIGITAL,9.99,2022-12-12,active
S-00000002,P-00000014,mharris@att.net,Margaret,Harris,3126895544,1406 Fullerton Ave,Chicago,IL,60647,PREMIUM,34.99,2022-04-04,active
S-00000003,P-00000025,paul.brown14@icloud.com,Paul,Brown,6306134207,1318 Cermak Rd,Chicago,IL,60601,DIGITAL,9.99,2020-12-18,active
S-00000004,P-00000026,lisa.perez51@aol.com,Lisa,Perez,8724438618,325 California Ave,Chicago,IL,60622,DAILY,24.99,2022-12-17,active
S-00000005,P-00000032,amanda.thomas87@yahoo.com,Amanda,Thomas,7735183839,953 Ashland Ave,Chicago,IL,60610,PREMIUM,34.99,2022-12-06,active
S-00000006,P-00000040,patricia.thomas80@comcast.net,Patricia,Thomas,7731049115,9187 Armitage Ave,Chicago,IL,60615,DIGITAL,9.99,2023-11-04,active
S-00000007,P-00000046,kevin.jackson71@outlook.com,Kevin,Jackson,8724599865,5586 Roosevelt Rd,Oak Park,IL,60302,DIGITAL,9.99,2021-01-01,active
S-00000008,P-00000054,daniel.hernandez36@hotmail.com,Daniel,Hernandez,8723373139,6290 Madison St,Chicago,IL,60657,DIGITAL,9.99,2023-10-28,active
S-00000009,P-00000056,betty.davis60@yahoo.com,Betty,Davis,6305166500,4935 Armitage Ave,Evanston,IL,60201,WEEKEND,14.99,2022-01-07,active
S-00000010,P-00000057,william.allen84@hotmail.com,William,Allen,8473496081,7126 Armitage Ave,Chicago,IL,60657,DAILY,24.99,2023-11-28,active
S-00000011,P-00000073,chill@sbcglobal.net,Christopher,Hill,3126642264,9895 Monroe St,Chicago,IL,60622,WEEKEND,14.99,2022-05-28,active
S-00000012,P-00000075,betty.king59@aol.com,Betty,King,8471421240,9604 California Ave,Chicago,IL,60615,DIGITAL,9.99,2023-03-04,cancelled
S-00000013,P-00000089,bclark@att.net,Brian,Clark,7739464685,8654 Jackson Blvd,Chicago,IL,60657,WEEKEND,14.99,2021-10-31,active
S-00000014,P-00000090,sharris@att.net,Sarah,Harris,6305390020,3976 Wacker Dr,Chicago,IL,60601,DAILY,24.99,2023-05-19,cancelled
S-00000015,P-00000094,mark.taylor54@att.net,Mark,Taylor,3127231219,3672 Cicero Ave,Chicago,IL,60610,DIGITAL,9.99,2020-06-14,active
S-00000016,P-00000109,mary.nelson51@icloud.com,Mary,Nelson,6307247794,4224 California Ave,Chicago,IL,60601,WEEKEND,14.99,2020-11-29,active
S-00000017,P-00000112,brian.flores25@comcast.net,Brian,Flores,8726787749,7109 Jackson Blvd,Evanston,IL,60201,DIGITAL,9.99,2020-05-06,active
S-00000018,P-00000124,linda.martin74@yahoo.com,Linda,Martin,3128456985,1036 Cermak Rd,Chicago,IL,60622,PREMIUM,34.99,2020-08-15,active
S-00000019,P-00000140,jennifer.jackson69@hotmail.com,Jennifer,Jackson,8722847865,1033 Harrison St,Oak Park,IL,60302,DAILY,24.99,2020-06-20,active
S-00000020,P-00000164,bking@hotmail.com,Brian,King,8723428081,9210 Jackson Blvd,Oak Park,IL,60302,DIGITAL,9.99,2021-03-02,active
S-00000021,P-00000166,tperez@gmail.com,Timothy,Perez,7739121757,6357 Archer Ave,Chicago,IL,60654,DIGITAL,9.99,2021-02-15,active
S-00000022,P-00000170,george.hernandez88@aol.com,George,Hernandez,3122100500,3826 Michigan Ave,Chicago,IL,60601,DIGITAL,9.99,2020-11-02,cancelled
S-00000023,P-00000173,janderson@comcast.net,Joshua,Anderson,7733779499,6670 Van Buren St,Chicago,IL,60614,PREMIUM,34.99,2020-11-08,active
S-00000024,P-00000177,dorothy.scott68@aol.com,Dorothy,Scott,3122906039,6384 Pulaski Rd,Chicago,IL,60614,DAILY,24.99,2022-03-08,active
S-00000025,P-00000192,susan.rodriguez35@yahoo.com,Susan,Rodriguez,8725115362,7473 Western Ave,Chicago,IL,60657,WEEKEND,14.99,2023-04-24,active
S-00000026,P-00000198,jessica.allen4@comcast.net,Jessica,Allen,3129324454,1503 Western Ave,Chicago,IL,60614,PREMIUM,34.99,2021-09-21,active
S-00000027,P-00000204,jgreen@outlook.com,Joseph,Green,3122244289,671 Roosevelt Rd,Chicago,IL,60601,PREMIUM,34.99,2023-10-27,active
S-00000028,P-00000216,lnelson@sbcglobal.net,Lisa,Nelson,8723892478,1753 Ashland Ave,Chicago,IL,60657,PREMIUM,34.99,2020-05-29,active
S-00000029,P-00000220,karen.hernandez95@comcast.net,Karen,Hernandez,8722033316,797 Dearborn St,Chicago,IL,60610,WEEKEND,14.99,2022-03-26,cancelled
S-00000030,P-00000229,khill@hotmail.com,Kenneth,Hill,3124651387,7631 Irving Park Rd,Chicago,IL,60654,PREMIUM,34.99,2020-08-30,active
S-00000031,P-00000233,nancy.anderson21@msn.com,Nancy,Anderson,7734541483,4059 Armitage Ave,Chicago,IL,60647,PREMIUM,34.99,2020-06-11,active
S-00000032,P-00000238,kperez@icloud.com,Kenneth,Perez,6303167354,710 Armitage Ave,Chicago,IL,60615,DIGITAL,9.99,2022-09-27,cancelled
S-00000033,P-00000241,dorothy.wright39@outlook.com,Dorothy,Wright,3127501553,5646 Ashland Ave,Chicago,IL,60622,DIGITAL,9.99,2022-06-03,active
S-00000034,P-00000256,george.miller19@outlook.com,George,Miller,8478026492,2823 Wacker Dr,Oak Park,IL,60302,DIGITAL,9.99,2023-05-14,cancelled
S-00000035,P-00000263,christopher.lopez90@att.net,Christopher,Lopez,8724830121,7716 Central Ave,Chicago,IL,60622,DIGITAL,9.99,2021-05-16,cancelled
S-00000036,P-00000265,linda.nelson97@msn.com,Linda,Nelson,8475460276,2068 Armitage Ave,Chicago,IL,60614,DIGITAL,9.99,2020-12-08,active
S-00000037,P-00000269,timothy.martin18@yahoo.com,Timothy,Martin,6305408285,3844 Diversey Pkwy,Chicago,IL,60654,WEEKEND,14.99,2021-06-10,active
S-00000038,P-00000270,tramirez@msn.com,Timothy,Ramirez,3129143179,8022 Harrison St,Chicago,IL,60615,DIGITAL,9.99,2021-08-06,active
S-00000039,P-00000280,brian.clark51@yahoo.com,Brian,Clark,8727407054,4440 Fullerton Ave,Evanston,IL,60201,PREMIUM,34.99,2022-12-02,active
S-00000040,P-00000286,mark.king45@aol.com,Mark,King,8477216074,9802 Irving Park Rd,Chicago,IL,60622,WEEKEND,14.99,2021-05-24,active
S-00000041,P-00000294,michelle.davis60@sbcglobal.net,Michelle,Davis,3124502626,3275 Pulaski Rd,Chicago,IL,60657,DIGITAL,9.99,2020-11-26,active
S-00000042,P-00000309,george.king88@att.net,George,King,6302358097,7270 Irving Park Rd,Oak Park,IL,60302,WEEKEND,14.99,2020-04-27,active
S-00000043,P-00000313,barbara.clark53@msn.com,Barbara,Clark,8723345704,9989 LaSalle St,Chicago,IL,60622,DIGITAL,9.99,2022-02-25,active
S-00000044,P-00000318,rgonzalez@att.net,Richard,Gonzalez,6307214638,7106 Irving Park Rd,Chicago,IL,60657,DIGITAL,9.99,2021-08-26,active
S-00000045,P-00000320,paul.nguyen15@msn.com,Paul,Nguyen,8476895725,7657 Wells St,Chicago,IL,60654,WEEKEND,14.99,2020-07-26,active
S-00000046,P-00000321,susan.martinez94@aol.com,Susan,Martinez,8474713543,592 Adams St,Chicago,IL,60610,PREMIUM,34.99,2022-01-10,active
S-00000047,P-00000340,daniel.torres65@sbcglobal.net,Daniel,Torres,8729990499,1204 Madison St,Chicago,IL,60622,DIGITAL,9.99,2023-01-19,active
S-00000048,P-00000345,paul.flores65@icloud.com,Paul,Flores,8728712079,489 Wacker Dr,Chicago,IL,60610,WEEKEND,14.99,2022-01-02,active
S-00000049,P-00000346,andrew.jackson89@outlook.com,Andrew,Jackson,6301125355,9829 Cicero Ave,Evanston,IL,60201,DIGITAL,9.99,2021-04-21,cancelled
S-00000050,P-00000351,sarah.martinez57@att.net,Sarah,Martinez,7734855933,5888 Monroe St,Oak Park,IL,60302,DIGITAL,9.99,2021-08-12,active
S-00000051,P-00000353,eking@att.net,Elizabeth,King,6303173513,6409 Kedzie Ave,Oak Park,IL,60302,DIGITAL,9.99,2020-04-20,active
S-00000052,P-00000355,lisa.williams79@msn.com,Lisa,Williams,3121777567,4295 Harlem Ave,Chicago,IL,60622,WEEKEND,14.99,2022-06-08,active
S-00000053,P-00000357,kimberly.robinson28@gmail.com,Kimberly,Robinson,3124843139,916 Madison St,Oak Park,IL,60302,DIGITAL,9.99,2021-10-17,active
S-00000054,P-00000359,daniel.harris93@sbcglobal.net,Daniel,Harris,8726332889,3062 Cicero Ave,Chicago,IL,60614,WEEKEND,14.99,2023-03-10,cancelled
S-00000055,P-00000374,charles.anderson72@sbcglobal.net,Charles,Anderson,3122609184,118 Clark St,Chicago,IL,60615,PREMIUM,34.99,2022-03-17,active
S-00000056,P-00000378,james.lewis86@sbcglobal.net,James,Lewis,8727859698,6873 Madison St,Oak Park,IL,60302,PREMIUM,34.99,2023-02-28,active
S-00000057,P-00000381,george.moore77@aol.com,George,Moore,6305675519,734 Monroe St,Chicago,IL,60654,WEEKEND,14.99,2020-10-27,active
S-00000058,P-00000387,jessica.davis59@sbcglobal.net,Jessica,Davis,8471295866,1729 Fullerton Ave,Chicago,IL,60615,DIGITAL,9.99,2020-05-16,active
S-00000059,P-00000396,andrew.williams85@msn.com,Andrew,Williams,8727886940,4578 Ashland Ave,Chicago,IL,60657,DAILY,24.99,2023-02-16,cancelled
S-00000060,P-00000399,richard.moore54@yahoo.com,Richard,Moore,8722543812,3514 Madison St,Chicago,IL,60647,DIGITAL,9.99,2022-03-01,active
S-00000061,P-00000401,karen.mitchell59@att.net,Karen,Mitchell,6301243877,2790 Irving Park Rd,Chicago,IL,60601,DIGITAL,9.99,2020-09-07,active
S-00000062,P-00000404,jessica.hall48@icloud.com,Jessica,Hall,3125914082,2359 LaSalle St,Chicago,IL,60615,DIGITAL,9.99,2021-07-18,cancelled
S-00000063,P-00000415,kdavis@yahoo.com,Kenneth,Davis,6306324852,5670 Irving Park Rd,Oak Park,IL,60302,WEEKEND,14.99,2023-03-28,active
S-00000064,P-00000420,timothy.gonzalez28@sbcglobal.net,Timothy,Gonzalez,8479471414,821 Diversey Pkwy,Chicago,IL,60647,PREMIUM,34.99,2023-12-11,active
S-00000065,P-00000432,jessica.anderson76@sbcglobal.net,Jessica,Anderson,8475472089,6405 Pulaski Rd,Chicago,IL,60610,WEEKEND,14.99,2022-09-09,active
S-00000066,P-00000444,patricia.taylor14@comcast.net,Patricia,Taylor,6303497934,4770 Adams St,Oak Park,IL,60302,DIGITAL,9.99,2020-06-02,active
S-00000067,P-00000476,sarah.white58@aol.com,Sarah,White,6302652131,7289 Congress Pkwy,Chicago,IL,60654,DIGITAL,9.99,2020-07-15,active
S-00000068,P-00000479,aanderson@sbcglobal.net,Ashley,Anderson,6306800545,8040 Van Buren St,Chicago,IL,60601,WEEKEND,14.99,2023-03-23,active
S-00000069,P-00000482,mark.harris1@outlook.com,Mark,Harris,6305791882,4178 Kedzie Ave,Chicago,IL,60615,DIGITAL,9.99,2023-12-22,active
S-00000070,P-00000484,llewis@gmail.com,Linda,Lewis,6302578458,7631 Jackson Blvd,Chicago,IL,60610,DIGITAL,9.99,2020-01-15,active
S-00000071,P-00000490,joshua.rivera88@sbcglobal.net,Joshua,Rivera,8474875416,8672 Kedzie Ave,Chicago,IL,60657,DIGITAL,9.99,2020-12-12,active
S-00000072,P-00000498,melissa.hill4@aol.com,Melissa,Hill,8726097579,6511 Fullerton Ave,Oak Park,IL,60302,PREMIUM,34.99,2020-04-19,active
S-00000073,P-00000504,daniel.thomas28@hotmail.com,Daniel,Thomas,3126562632,9245 Van Buren St,Chicago,IL,60647,WEEKEND,14.99,2020-02-15,active
S-00000074,P-00000509,lharris@att.net,Linda,Harris,3124739469,7180 Dearborn St,Chicago,IL,60654,DAILY,24.99,2023-10-20,active
S-00000075,P-00000512,jessica.white94@icloud.com,Jessica,White,3121831635,1241 Archer Ave,Chicago,IL,60647,DIGITAL,9.99,2021-01-03,active
S-00000076,P-00000527,rjones@icloud.com,Robert,Jones,7739817164,7015 Monroe St,Chicago,IL,60614,WEEKEND,14.99,2023-02-16,active
S-00000077,P-00000550,kimberly.brown71@att.net,Kimberly,Brown,7733848039,4665 Oak Park Ave,Chicago,IL,60610,WEEKEND,14.99,2023-01-13,active
S-00000078,P-00000553,arobinson@hotmail.com,Andrew,Robinson,8479722856,2701 State St,Chicago,IL,60622,PREMIUM,34.99,2021-10-20,active
S-00000079,P-00000567,william.brown17@icloud.com,William,Brown,7735245871,9409 Wacker Dr,Chicago,IL,60601,DIGITAL,9.99,2023-04-05,active
S-00000080,P-00000569,dwalker@comcast.net,Donald,Walker,8727630604,7346 Harlem Ave,Chicago,IL,60614,DIGITAL,9.99,2023-12-20,active
S-00000081,P-00000570,charles.sanchez26@sbcglobal.net,Charles,Sanchez,7731138925,6581 Armitage Ave,Chicago,IL,60614,WEEKEND,14.99,2023-01-07,active
S-00000082,P-00000574,paul.sanchez45@outlook.com,Paul,Sanchez,8721458819,2606 State St,Oak Park,IL,60302,DIGITAL,9.99,2022-03-20,active
S-00000083,P-00000576,mtaylor@yahoo.com,Matthew,Taylor,8726216813,5094 Pulaski Rd,Chicago,IL,60654,DIGITAL,9.99,2020-06-04,active
S-00000084,P-00000578,jennifer.martin48@comcast.net,Jennifer,Martin,8723993220,6766 Harrison St,Chicago,IL,60657,WEEKEND,14.99,2022-07-01,cancelled
S-00000085,P-00000580,linda.adams35@comcast.net,Linda,Adams,7733051723,463 Pulaski Rd,Chicago,IL,60615,DIGITAL,9.99,2023-07-03,cancelled
S-00000086,P-00000584,donald.adams85@aol.com,Donald,Adams,8471542955,9621 Fullerton Ave,Chicago,IL,60622,DIGITAL,9.99,2023-06-06,active
S-00000087,P-00000586,dwhite@gmail.com,Donna,White,8474886932,6300 Fullerton Ave,Chicago,IL,60610,DAILY,24.99,2020-06-04,cancelled
S-00000088,P-00000587,sramirez@aol.com,Sarah,Ramirez,8727215241,8401 Central Ave,Oak Park,IL,60302,PREMIUM,34.99,2020-03-17,cancelled
S-00000089,P-00000605,patricia.miller2@gmail.com,Patricia,Miller,8729355425,4122 Cicero Ave,Chicago,IL,60647,DIGITAL,9.99,2023-04-25,active
S-00000090,P-00000608,charles.robinson78@outlook.com,Charles,Robinson,6303307539,8310 Van Buren St,Chicago,IL,60654,DIGITAL,9.99,2023-02-11,active
S-00000091,P-00000626,david.green34@aol.com,David,Green,7736583161,3350 Fullerton Ave,Chicago,IL,60610,DIGITAL,9.99,2020-04-18,active
S-00000092,P-00000630,ptorres@att.net,Patricia,Torres,8726023198,3227 Jackson Blvd,Chicago,IL,60615,DIGITAL,9.99,2020-09-14,cancelled
S-00000093,P-00000632,bsanchez@msn.com,Brian,Sanchez,8725354489,2543 Cicero Ave,Chicago,IL,60622,DIGITAL,9.99,2021-10-15,active
S-00000094,P-00000638,steven.martinez48@yahoo.com,Steven,Martinez,3128104527,921 Wells St,Evanston,IL,60201,DIGITAL,9.99,2022-11-09,cancelled
S-00000095,P-00000646,daniel.hall26@att.net,Daniel,Hall,8472079037,4466 Harlem Ave,Evanston,IL,60201,DAILY,24.99,2020-04-24,active
S-00000096,P-00000651,paul.rodriguez91@att.net,Paul,Rodriguez,8474665842,1940 Adams St,Oak Park,IL,60302,WEEKEND,14.99,2021-08-01,active
S-00000097,P-00000655,james.hall3@comcast.net,James,Hall,8725330453,5711 Van Buren St,Oak Park,IL,60302,WEEKEND,14.99,2023-04-25,cancelled
S-00000098,P-00000656,elizabeth.wright28@outlook.com,Elizabeth,Wright,8726998544,1394 Central Ave,Chicago,IL,60615,DIGITAL,9.99,2022-04-04,active
S-00000099,P-00000689,anthony.mitchell53@hotmail.com,Anthony,Mitchell,7733518929,1516 Wells St,Chicago,IL,60601,DIGITAL,9.99,2021-03-10,cancelled
S-00000100,P-00000691,bhill@hotmail.com,Barbara,Hill,8471377224,1208 Adams St,Chicago,IL,60654,DIGITAL,9.99,2023-12-20,active
S-00000101,P-00000693,kevin.clark2@comcast.net,Kevin,Clark,8478863353,9704 Western Ave,Chicago,IL,60610,DIGITAL,9.99,2021-11-17,cancelled
S-00000102,P-00000700,jessica.wright82@comcast.net,Jessica,Wright,8472407757,8724 Michigan Ave,Evanston,IL,60201,DIGITAL,9.99,2022-09-08,cancelled
S-00000103,P-00000707,donald.adams14@att.net,Donald,Adams,6303867695,5922 Kedzie Ave,Chicago,IL,60601,DIGITAL,9.99,2020-12-10,active
S-00000104,P-00000713,anthony.lee43@hotmail.com,Anthony,Lee,8476579123,6223 Armitage Ave,Evanston,IL,60201,PREMIUM,34.99,2022-03-24,active
S-00000105,P-00000714,patricia.ramirez9@sbcglobal.net,Patricia,Ramirez,8721480674,7211 Ashland Ave,Chicago,IL,60615,WEEKEND,14.99,2021-12-30,active
S-00000106,P-00000729,aperez@gmail.com,Amanda,Perez,3128392053,1342 Irving Park Rd,Chicago,IL,60615,WEEKEND,14.99,2021-01-14,active
